year,month,consumption,time,productid,date
2016,6,1654.54,62016,36,6/1/2016
2016,7,1824.85,72016,36,7/1/2016
2016,8,1951.18,82016,36,8/1/2016
2016,9,2020.45,92016,36,9/1/2016
2016,10,2391.41,102016,36,10/1/2016
2016,11,2395.12,112016,36,11/1/2016
2016,12,2838.93,122016,36,12/1/2016
2017,1,3356.17,12017,36,1/1/2017
2017,2,3497.24,22017,36,2/1/2017
2017,3,4683.59,32017,36,3/1/2017
2017,4,4718.56,42017,36,4/1/2017
2017,5,4924.94,52017,36,5/1/2017
2017,6,4209.94,62017,36,6/1/2017
2017,7,4368.63,72017,36,7/1/2017
2017,8,4390.91,82017,36,8/1/2017
2017,9,4335.72,92017,36,9/1/2017
2017,10,4595.99,102017,36,10/1/2017
2017,11,4704.71,112017,36,11/1/2017
2017,12,5061.74,122017,36,12/1/2017
2018,1,5171.19,12018,36,1/1/2018
2018,2,4886.11,22018,36,2/1/2018
2018,3,5466.28,32018,36,3/1/2018
2018,4,5300.88,42018,36,4/1/2018
2018,5,5313.05,52018,36,5/1/2018
2018,6,5703.57,62018,36,6/1/2018
2018,7,5059.97,72018,36,7/1/2018
2018,8,5366.6,82018,36,8/1/2018
2018,9,5298.8,92018,36,9/1/2018
2018,10,7713.18,102018,36,10/1/2018
2018,11,5867.11,112018,36,11/1/2018
2018,12,6230.64,122018,36,12/1/2018
2019,1,5919.68,12019,36,1/1/2019
2019,2,5501.82,22019,36,2/1/2019
2019,3,5661.82,32019,36,3/1/2019
2019,4,5735.21,42019,36,4/1/2019
2019,5,5994.03,52019,36,5/1/2019
